Ticker,Time,Bid,Ask
BTC/USD,2018-02-04 19:51:51.839059,8480,8480.01
BTC/USD,2018-02-04 19:51:54.615522,8480,8480.01
BTC/USD,2018-02-04 19:51:57.583538,8480,8480.01
BTC/USD,2018-02-04 19:52:00.452275,8480,8480.01
BTC/USD,2018-02-04 19:52:03.187531,8475.61,8477.47
BTC/USD,2018-02-04 19:52:05.979988,8475.61,8475.62
BTC/USD,2018-02-04 19:52:08.747144,8475.61,8475.62
BTC/USD,2018-02-04 19:52:11.512388,8475.61,8475.62
BTC/USD,2018-02-04 19:52:14.385297,8475.61,8475.62
BTC/USD,2018-02-04 19:52:17.306467,8475.61,8475.62
